date,GM_dhoust,GM_ip,GM_nai,GM_nfci,horizon.x,GM_Rvol22,horizon.y,GM_vix,horizon,GM_vrp,GM_vix_dhoust,GM_vix_ip,GM_vix_nai,GM_vix_nfci
2023-06-27,0.5130146535426802,0.5079351381313028,0.4837846177568025,0.4854912260388056,1,0.5490094389315824,1,0.4306681673584861,1,0.4799409094857833,0.5441695919165485,0.5448215390263959,0.5448215390263959,0.42771966767500347
2023-06-28,0.5267686072585279,0.5210546270979226,0.49404598220007756,0.4955586278729056,2,0.5656726978284385,2,0.4331400221560152,2,0.49110169646182716,0.5538300945316823,0.5542789503380078,0.5542789503380078,0.4326209574448792
2023-06-29,0.5401674035491083,0.5338528391526712,0.5040903787358524,0.50537310627069,3,0.5816845722281982,3,0.435375298650386,3,0.5020503878393516,0.5626401551900867,0.5628343425035764,0.5628343425035764,0.43712355485730137
2023-06-30,0.5532202133625957,0.5463376418927061,0.5139223949677681,0.5149410154301626,4,0.5970705254430307,4,0.4373966394715704,4,0.5127910142071506,0.5706746407543443,0.5705737473676545,0.5705737473676545,0.44125989129326465
2023-07-03,0.5659359708330526,0.5585167102493479,0.5235465214984518,0.5242685499127474,5,0.6118550253971758,5,0.4392245201501694,5,0.5233275295581511,0.5780018273408162,0.5775749913189461,0.5775749913189461,0.44505976002331704
2023-07-05,0.5783233793954912,0.5703975312061828,0.53296715398052,0.5333617486538407,6,0.6260615835377135,6,0.44087745652793353,6,0.5336638127450153,0.5846839805220737,0.583908477901746,0.583908477901746,0.4485505308030074
2023-07-06,0.5903909177430328,0.5819874084016241,0.5421885951242177,0.5422264988726042,7,0.639712792224274,7,0.4423721923172686,7,0.5438036689080785,0.5907778844524351,0.5896378957842795,0.5896378957842795,0.45175734701220116
2023-07-07,0.6021468456302389,0.593293466618766,0.5512150566626061,0.5508685398835348,8,0.6528303606571423,8,0.4437238687096421,8,0.5537508308761516,0.5963353244130503,0.5948208592031711,0.5948208592031711,0.45470330675822035
2023-07-10,0.6135992095265878,0.6043226561652849,0.5600506612751984,0.5592934668122735,9,0.6654351494008953,9,0.44494617775096945,9,0.5635089605407039,0.6014035268771497,0.5995094873242692,0.5995094873242692,0.4574096292472623
2023-07-11,0.6247558481239657,0.6150817571460856,0.5686994444709224,0.5675067342180651,10,0.677547203558474,10,0.44605150103762337,10,0.5730816502039309,0.6060255608350766,0.6037509283457946,0.6037509283457946,0.45989580762243915
2023-07-12,0.6356243977019426,0.625577383631316,0.5771653564312691,0.5755136596252075,11,0.6891857846484446,11,0.44705103513801125,11,0.5824724239012031,0.6102407037895179,0.6075878336141239,0.6075878336141239,0.46217974936930206
2023-07-13,0.6462122973545052,0.6358159877223121,0.585452263814469,0.583319426965783,12,0.7003694012361449,12,0.447954905010203,12,0.5916847386983856,0.6140847755311162,0.6110587865198508,0.6110587865198508,0.4642779053001661
2023-07-14,0.6565267940818234,0.6458038635179763,0.5935639515215213,0.5909290899358973,13,0.7111158383674256,13,0.4487722665644899,13,0.6007219859645014,0.6175904425308524,0.6141986904870447,0.6141986904870447,0.4662053880462855
2023-07-17,0.6665749477505353,0.6555471509840225,0.6015041244248823,0.5983475752675976,14,0.7214421858517973,14,0.44951139940980356,14,0.6095874926202117,0.6207874955358853,0.6170391199572726,0.6170391199572726,0.4679760809113566
2023-07-18,0.6763636359259501,0.6650518397274715,0.6092764090606005,0.6055796859185939,15,0.7313648654399554,15,0.45017979072348363,15,0.6182845223625686,0.623703102727829,0.6196086378978322,0.6196086378978322,0.4696027378704016
2023-07-19,0.6858995585794683,0.6743237726787121,0.6168843552846747,0.6126301041818413,16,0.7408996569389111,16,0.4507842110939698,16,0.6268162768664944,0.6263620405947743,0.6219330830270148,0.6219330830270148,0.47109707543430374
2023-07-20,0.6951892426744498,0.6833686496833964,0.6243314378943886,0.6195033947170026,17,0.7500617233062516,17,0.451330783104679,17,0.6351858969634276,0.6287869044789804,0.6240358296446951,0.6240358296446951,0.4724698570416808
2023-07-21,0.7042390466336621,0.6921920310063729,0.6316210582153647,0.6262040075057508,18,0.7588656347634395,18,0.45182504335380064,18,0.6433964637975715,0.6309983005894441,0.6259380226810697,0.6259380226810697,0.4737309705859538
2023-07-24,0.7130551646913706,0.7007993407498144,0.6387565456550602,0.6327362807328245,19,0.7673253919664972,19,0.4522719985382507,19,0.6514509999601681,0.6330150211110475,0.6276587903271609,0.6276587903271609,0.4748894996360242
2023-07-25,0.7216436311330482,0.7091958701876411,0.6457411592234158,0.639104443594705,20,0.775454448270926,20,0.4526761761698968,20,0.6593524706022178,0.6348542038983427,0.6292154363852696,0.6292154363852696,0.47595378886355044
